v10,u_curr,v_curr,elevation,target
-0.9671173,-0.29589844,-0.10644531,-120.0,1
0.44792175,-0.17675781,-0.047851562,-110.0,0
1.170578,-0.10253906,-0.037109375,-91.0,0
1.6529999,-0.24414062,-0.09472656,116.0,0
1.9079175,-0.24414062,-0.09472656,193.0,0
0.60417175,-0.1328125,-0.083984375,-60.0,0
1.1110077,-0.24414062,-0.09472656,51.0,0
1.6110077,-0.24414062,-0.09472656,176.0,0
1.7535858,-0.24414062,-0.09472656,166.0,0
1.5758514,-0.24414062,-0.09472656,237.0,0
0.8863983,-0.24414062,-0.09472656,153.0,0
1.3375702,-0.24414062,-0.09472656,233.0,0
1.2574921,-0.24414062,-0.09472656,360.0,0
1.2369843,-0.24414062,-0.09472656,340.0,0
1.0563202,-0.24414062,-0.09472656,530.0,0
-0.847702,-0.28710938,-0.09277344,-120.0,1
0.7733917,-0.17285156,-0.03515625,-110.0,0
1.5233917,-0.09667969,-0.024414062,-91.0,0
1.9079175,-0.24414062,-0.09472656,116.0,0
1.9079175,-0.24414062,-0.09472656,193.0,0
0.84272766,-0.14257812,-0.055664062,-60.0,0
1.3378448,-0.24414062,-0.09472656,51.0,0
1.8163605,-0.24414062,-0.09472656,176.0,0
1.8944855,-0.24414062,-0.09472656,166.0,0
1.7284698,-0.24414062,-0.09472656,237.0,0
0.9999542,-0.24414062,-0.09472656,153.0,0
1.4403839,-0.24414062,-0.09472656,233.0,0
1.3466339,-0.24414062,-0.09472656,360.0,0
1.3827667,-0.24414062,-0.09472656,340.0,0
1.1845245,-0.24414062,-0.09472656,530.0,0
-0.5442505,-0.27441406,-0.08105469,-120.0,1
1.2057495,-0.16992188,-0.018554688,-110.0,0
1.9079175,-0.087890625,-0.009765625,-91.0,0
1.9079175,-0.24414062,-0.09472656,116.0,0
1.9079175,-0.24414062,-0.09472656,193.0,0
1.1188354,-0.14648438,-0.025390625,-60.0,0
1.6119995,-0.24414062,-0.09472656,51.0,0
1.9079175,-0.24414062,-0.09472656,176.0,0
1.9079175,-0.24414062,-0.09472656,166.0,0
1.5993042,-0.24414062,-0.09472656,237.0,0
1.088562,-0.24414062,-0.09472656,153.0,0
1.5280151,-0.24414062,-0.09472656,233.0,0
1.4108276,-0.24414062,-0.09472656,360.0,0
1.2506714,-0.24414062,-0.09472656,340.0,0
1.0905151,-0.24414062,-0.09472656,530.0,0
-0.030471802,-0.25683594,-0.072265625,-120.0,1
1.7322235,-0.16503906,-0.0,-110.0,1
1.9079175,-0.07519531,0.005859375,-91.0,0
1.9079175,-0.24414062,-0.09472656,116.0,0
1.9079175,-0.24414062,-0.09472656,193.0,0
1.5164032,-0.14453125,0.00390625,-60.0,0
1.8884735,-0.24414062,-0.09472656,51.0,0
1.9079175,-0.24414062,-0.09472656,176.0,0
1.896286,-0.24414062,-0.09472656,166.0,0
1.5935516,-0.24414062,-0.09472656,237.0,0
1.1765594,-0.24414062,-0.09472656,153.0,0
1.490036,-0.24414062,-0.09472656,233.0,0
1.3914032,-0.24414062,-0.09472656,360.0,0
1.1121063,-0.24414062,-0.09472656,340.0,0
0.94511414,-0.24414062,-0.09472656,530.0,0
0.33377075,-0.23632812,-0.064453125,-120.0,1
1.9079175,-0.15625,0.015625,-110.0,1
1.9079175,-0.057617188,0.016601562,-91.0,0
1.9079175,-0.24414062,-0.09472656,116.0,0
1.9079175,-0.24414062,-0.09472656,193.0,0
1.6902161,-0.13476562,0.03125,-60.0,0
1.9079175,-0.24414062,-0.09472656,51.0,0
1.9079175,-0.24414062,-0.09472656,176.0,0
